regaty,ID_wariantu_klubu,miejsceWRegatach
99194464,49746069,1
99194464,77473926,2
99194464,64830853,3
99194464,66803490,4
99194464,20708529,5
99194464,97519162,6
99194464,68504006,7
99194464,96517047,8
99194464,15248730,9
90193164,49746069,1
90193164,66803490,2
90193164,77473926,3
90193164,64830853,4
90193164,20708529,5
90193164,68504006,6
90193164,96517047,7
90193164,97519162,8
90193164,15248730,9
39885461,49746069,1
39885461,64830853,2
39885461,66803490,3
39885461,97519162,4
39885461,77473926,5
39885461,20708529,6
39885461,68504006,7
39885461,15248730,8
39885461,96517047,9
16400118,77473926,1
16400118,49746069,2
16400118,68504006,3
16400118,64830853,4
16400118,97519162,5
16400118,66803490,6
16400118,20708529,7
16400118,15248730,8
16400118,96517047,9
96787646,32679058,1
96787646,5394163,2
96787646,35887754,3
96787646,97519162,4
96787646,3343985,5
96787646,20708529,6
96787646,38352842,7
96787646,28130866,8
96787646,23372296,9
96787646,15248730,10
96787646,23628341,11
96787646,96517047,12
61637084,35887754,1
61637084,32679058,2
61637084,23628341,3
61637084,5394163,4
61637084,20708529,5
61637084,23372296,6
61637084,3343985,7
61637084,97519162,8
61637084,15248730,9
61637084,28130866,10
61637084,38352842,11
61637084,96517047,12
11173302,32679058,1
11173302,3343985,2
11173302,5394163,3
11173302,23628341,4
11173302,38352842,5
11173302,35887754,6
11173302,97519162,7
11173302,20708529,8
11173302,15248730,9
11173302,23372296,10
11173302,28130866,11
11173302,96517047,12
56595466,32679058,1
56595466,97519162,2
56595466,38352842,3
56595466,23372296,4
56595466,23628341,5
56595466,35887754,6
56595466,5394163,7
56595466,20708529,8
56595466,15248730,9
56595466,3343985,10
56595466,28130866,11
56595466,96517047,12
79772225,75141924,1
79772225,95701656,2
79772225,26725552,3
79772225,57461405,4
79772225,97015711,5
79772225,23372296,6
79772225,86806554,7
79772225,59287240,8
79772225,1026501,9
79772225,23474192,10
79772225,21863651,11
79772225,80070716,12
79772225,48068506,13
79772225,28130866,14
79772225,40632154,15
79772225,8699349,16
79772225,15248730,17
79772225,96517047,18
20201142,97015711,1
20201142,95701656,2
20201142,75141924,3
20201142,26725552,4
20201142,59287240,5
20201142,21863651,6
20201142,57461405,7
20201142,23474192,8
20201142,23372296,9
20201142,8699349,10
20201142,86806554,11
20201142,80070716,12
20201142,15248730,13
20201142,28130866,14
20201142,1026501,15
20201142,40632154,16
20201142,48068506,17
20201142,96517047,18
96613811,26725552,1
96613811,97015711,2
96613811,95701656,3
96613811,75141924,4
96613811,23372296,5
96613811,57461405,6
96613811,28130866,7
96613811,59287240,8
96613811,15248730,9
96613811,86806554,10
96613811,21863651,11
96613811,8699349,12
96613811,23474192,13
96613811,80070716,14
96613811,40632154,15
96613811,1026501,16
96613811,48068506,17
96613811,96517047,18
68966834,75141924,1
68966834,97015711,2
68966834,26725552,3
68966834,95701656,4
68966834,86806554,5
68966834,21863651,6
68966834,23474192,7
68966834,57461405,8
68966834,80070716,9
68966834,59287240,10
68966834,8699349,11
68966834,1026501,12
68966834,28130866,13
68966834,15248730,14
68966834,23372296,15
68966834,48068506,16
68966834,40632154,17
68966834,96517047,18
31071604,73113253,1
31071604,12403011,2
31071604,39923431,3
31071604,79632095,4
31071604,8699349,5
31071604,80070716,6
31071604,27044513,7
31071604,79941094,8
31071604,9816690,9
31071604,23474192,10
31071604,20708529,11
31071604,64830853,12
31071604,2968352,13
31071604,64521030,14
31071604,10576990,15
31071604,59382754,16
31071604,73880943,17
31071604,59287240,18
59609769,39923431,1
59609769,23474192,2
59609769,64521030,3
59609769,79632095,4
59609769,27044513,5
59609769,10576990,6
59609769,73113253,7
59609769,80070716,8
59609769,12403011,9
59609769,8699349,10
59609769,59287240,11
59609769,2968352,12
59609769,20708529,13
59609769,9816690,14
59609769,64830853,15
59609769,79941094,16
59609769,73880943,17
59609769,59382754,18
51626046,12403011,1
51626046,39923431,2
51626046,27044513,3
51626046,73113253,4
51626046,64521030,5
51626046,23474192,6
51626046,8699349,7
51626046,80070716,8
51626046,20708529,9
51626046,59287240,10
51626046,2968352,11
51626046,10576990,12
51626046,59382754,13
51626046,73880943,14
51626046,9816690,15
51626046,64830853,16
51626046,79632095,17
51626046,79941094,18
72870325,12403011,1
72870325,39923431,2
72870325,10576990,3
72870325,59287240,4
72870325,73113253,5
72870325,27044513,6
72870325,80070716,7
72870325,20708529,8
72870325,2968352,9
72870325,23474192,10
72870325,8699349,11
72870325,9816690,12
72870325,59382754,13
72870325,79941094,14
72870325,64521030,15
72870325,79632095,16
72870325,64830853,17
72870325,73880943,18
10285883,10576990,1
10285883,64830853,2
10285883,35887754,3
10285883,23474192,4
10285883,20708529,5
10285883,38352842,6
10285883,8699349,7
10285883,77996720,8
10285883,59287240,9
10285883,64521030,10
10285883,23372296,11
10285883,56265761,12
10285883,74174186,13
10285883,59382754,14
10285883,96517047,15
10285883,2968352,16
10285883,35882268,17
10285883,79941094,18
50632845,35887754,1
50632845,74174186,2
50632845,2968352,3
50632845,64830853,4
50632845,23474192,5
50632845,10576990,6
50632845,8699349,7
50632845,77996720,8
50632845,23372296,9
50632845,59287240,10
50632845,56265761,11
50632845,20708529,12
50632845,38352842,13
50632845,35882268,14
50632845,79941094,15
50632845,64521030,16
50632845,96517047,17
50632845,59382754,18
60773118,64830853,1
60773118,35887754,2
60773118,10576990,3
60773118,59287240,4
60773118,23474192,5
60773118,74174186,6
60773118,64521030,7
60773118,2968352,8
60773118,79941094,9
60773118,77996720,10
60773118,20708529,11
60773118,56265761,12
60773118,23372296,13
60773118,8699349,14
60773118,96517047,15
60773118,35882268,16
60773118,38352842,17
60773118,59382754,18
23242296,2968352,1
23242296,64830853,2
23242296,59287240,3
23242296,23372296,4
23242296,64521030,5
23242296,77996720,6
23242296,35887754,7
23242296,10576990,8
23242296,20708529,9
23242296,23474192,10
23242296,8699349,11
23242296,74174186,12
23242296,96517047,13
23242296,38352842,14
23242296,56265761,15
23242296,59382754,16
23242296,35882268,17
23242296,79941094,18
32915456,14947601,1
32915456,2968352,2
32915456,18767554,3
32915456,59287240,4
32915456,23628341,5
32915456,82519192,6
32915456,77440855,7
32915456,14091040,8
32915456,20173236,9
32915456,90735668,10
32915456,5394163,11
32915456,80812925,12
32915456,9193535,13
32915456,38352842,14
32915456,59382754,15
32915456,29673695,16
32915456,8699349,17
32915456,23372296,18
8389469,18767554,1
8389469,14947601,2
8389469,90735668,3
8389469,82519192,4
8389469,59287240,5
8389469,23628341,6
8389469,9193535,7
8389469,8699349,8
8389469,2968352,9
8389469,29673695,10
8389469,38352842,11
8389469,20173236,12
8389469,14091040,13
8389469,77440855,14
8389469,23372296,15
8389469,59382754,16
8389469,80812925,17
8389469,5394163,18
16432618,14091040,1
16432618,23628341,2
16432618,90735668,3
16432618,20173236,4
16432618,18767554,5
16432618,23372296,6
16432618,59287240,7
16432618,14947601,8
16432618,29673695,9
16432618,82519192,10
16432618,8699349,11
16432618,5394163,12
16432618,9193535,13
16432618,80812925,14
16432618,38352842,15
16432618,59382754,16
16432618,2968352,17
16432618,77440855,18
19492707,90735668,1
19492707,29673695,2
19492707,80812925,3
19492707,59287240,4
19492707,14947601,5
19492707,18767554,6
19492707,14091040,7
19492707,20173236,8
19492707,2968352,9
19492707,23628341,10
19492707,23372296,11
19492707,5394163,12
19492707,82519192,13
19492707,77440855,14
19492707,38352842,15
19492707,8699349,16
19492707,59382754,17
19492707,9193535,18
69259421,3343985,1
69259421,5117166,2
69259421,77440855,3
69259421,2968352,4
69259421,29673695,5
69259421,77996720,6
69259421,55674587,7
69259421,1696220,8
69259421,56132742,9
69259421,20173236,10
69259421,57004617,11
69259421,92127505,12
69259421,9193535,13
69259421,39262660,14
69259421,23372296,15
69259421,11484760,16
69259421,23474192,17
69259421,8699349,18
87373489,57004617,1
87373489,56132742,2
87373489,3343985,3
87373489,2968352,4
87373489,77996720,5
87373489,5117166,6
87373489,77440855,7
87373489,90476956,8
87373489,39262660,9
87373489,55674587,10
87373489,11484760,11
87373489,29673695,12
87373489,92127505,13
87373489,23474192,14
87373489,20173236,15
87373489,9193535,16
87373489,23372296,17
87373489,8699349,18
16117658,64830853,1
16117658,77440855,2
16117658,77996720,3
16117658,90476956,4
16117658,3343985,5
16117658,56132742,6
16117658,29673695,7
16117658,5117166,8
16117658,39262660,9
16117658,23474192,10
16117658,2968352,11
16117658,57004617,12
16117658,20173236,13
16117658,55674587,14
16117658,9193535,15
16117658,23372296,16
16117658,8699349,17
16117658,11484760,18
79701472,3343985,1
79701472,5117166,2
79701472,23372296,3
79701472,2968352,4
79701472,57004617,5
79701472,64830853,6
79701472,77996720,7
79701472,77440855,8
79701472,90476956,9
79701472,39262660,10
79701472,8699349,11
79701472,56132742,12
79701472,55674587,13
79701472,9193535,14
79701472,29673695,15
79701472,11484760,16
79701472,20173236,17
79701472,23474192,18
65285653,8240115,1
65285653,10708798,2
65285653,40580208,3
65285653,96517047,4
65285653,77440855,5
65285653,48068506,6
65285653,68955506,7
65285653,45666287,8
51774063,8240115,1
51774063,77440855,2
51774063,96517047,3
51774063,40580208,4
51774063,48068506,5
51774063,45666287,6
51774063,10708798,7
51774063,68955506,8
72731202,8240115,1
72731202,96517047,2
72731202,10708798,3
72731202,77440855,4
72731202,48068506,5
72731202,40580208,6
72731202,45666287,7
72731202,68955506,8
72731202,67250387,9
71128501,40580208,1
71128501,8240115,2
71128501,10708798,3
71128501,96517047,4
71128501,68955506,5
71128501,77440855,6
71128501,48068506,7
71128501,67250387,8
71128501,45666287,9
98027676,14947601,1
98027676,576156,2
98027676,77440855,3
98027676,82519192,4
98027676,14091040,5
98027676,47299099,6
98027676,359628,7
98027676,10708798,8
98027676,55501945,9
98027676,48068506,10
98027676,94355480,11
75270731,14091040,1
75270731,77440855,2
75270731,82519192,3
75270731,14947601,4
75270731,10708798,5
75270731,576156,6
75270731,55501945,7
75270731,48068506,8
75270731,94355480,9
75270731,47299099,10
75270731,359628,11
44960821,14947601,1
44960821,14091040,2
44960821,82519192,3
44960821,576156,4
44960821,77440855,5
44960821,55501945,6
44960821,359628,7
44960821,10708798,8
44960821,48068506,9
44960821,94355480,10
44960821,47299099,11
44960821,74137594,12
39731721,82519192,1
39731721,576156,2
39731721,14091040,3
39731721,14947601,4
39731721,77440855,5
39731721,74137594,6
39731721,10708798,7
39731721,48068506,8
39731721,47299099,9
39731721,94355480,10
77100366,27807818,1
77100366,81063693,2
77100366,21267167,3
77100366,832153,4
77100366,50313289,5
77100366,14257077,6
77100366,81612175,7
77100366,89507832,8
77100366,47690965,9
42322105,832153,1
42322105,27807818,2
42322105,81612175,3
42322105,11014176,4
42322105,21267167,5
42322105,14257077,6
42322105,60393129,7
42322105,89507832,8
73972099,91582502,1
73972099,21267167,2
73972099,832153,3
73972099,27807818,4
73972099,81612175,5
73972099,11014176,6
73972099,89507832,7
73972099,14257077,8
73972099,50313289,9
73972099,77440855,10
1584594,21267167,1
1584594,91582502,2
1584594,832153,3
1584594,81612175,4
1584594,27807818,5
1584594,61715106,6
1584594,89507832,7
1584594,50313289,8
1584594,14257077,9
1584594,77440855,10
46476906,4192131,1
46476906,66479890,2
46476906,21267167,3
46476906,59238287,4
46476906,45812114,5
46476906,26565440,6
46476906,3343985,7
46476906,3964823,8
46476906,28865392,9
46476906,90735668,10
46476906,46283265,11
46476906,74323087,12
46476906,93090089,13
34786669,26565440,1
34786669,66479890,2
34786669,4192131,3
34786669,90735668,4
34786669,28865392,5
34786669,93090089,6
34786669,3343985,7
34786669,59238287,8
34786669,46283265,9
34786669,21267167,10
34786669,74323087,11
34786669,45812114,12
59734039,3343985,1
59734039,74323087,2
59734039,3964823,3
59734039,45812114,4
59734039,90735668,5
59734039,26565440,6
59734039,28865392,7
59734039,93090089,8
59734039,46283265,9
59734039,66479890,10
59734039,21267167,11
59734039,4192131,12
59734039,59238287,13
80803598,3964823,1
80803598,3343985,2
80803598,21267167,3
80803598,4192131,4
80803598,26565440,5
80803598,66479890,6
80803598,93090089,7
80803598,45812114,8
80803598,28865392,9
80803598,46283265,10
80803598,59238287,11
80803598,90735668,12
80803598,74323087,13
16861691,82259652,1
16861691,10322675,2
16861691,21267167,3
16861691,88156681,4
16861691,76070737,5
16861691,49746069,6
16861691,33296652,7
16861691,59890131,8
16861691,30610044,9
16861691,52594151,10
16861691,11851163,11
16861691,79119715,12
52984811,10322675,1
52984811,88156681,2
52984811,82259652,3
52984811,11851163,4
52984811,21267167,5
52984811,52594151,6
52984811,59890131,7
52984811,30610044,8
52984811,49746069,9
85657695,21267167,1
85657695,10322675,2
85657695,11851163,3
85657695,82259652,4
85657695,52594151,5
85657695,76070737,6
85657695,59890131,7
85657695,49746069,8
85657695,88156681,9
85657695,30610044,10
85326506,21267167,1
85326506,11851163,2
85326506,82259652,3
85326506,10322675,4
85326506,88156681,5
85326506,76070737,6
85326506,30610044,7
85326506,59890131,8
85326506,52594151,9
76884717,64568271,1
76884717,11851163,2
76884717,3475541,3
76884717,64995386,4
76884717,80297127,5
76884717,21267167,6
76884717,31561187,7
76884717,11014176,8
76884717,20369814,9
76884717,38352842,10
76884717,86712611,11
76884717,15125641,12
42903369,3475541,1
42903369,64568271,2
42903369,31561187,3
42903369,11851163,4
42903369,64995386,5
42903369,11014176,6
42903369,20369814,7
42903369,21267167,8
42903369,80297127,9
42903369,38352842,10
42903369,86712611,11
42903369,15125641,12
79990660,11851163,1
79990660,21267167,2
79990660,11014176,3
79990660,64568271,4
79990660,38352842,5
79990660,31561187,6
79990660,3475541,7
79990660,20369814,8
79990660,86712611,9
79990660,15125641,10
79990660,80297127,11
79990660,95362201,12
23503367,11851163,1
23503367,31561187,2
23503367,64568271,3
23503367,3475541,4
23503367,21267167,5
23503367,38352842,6
23503367,86712611,7
23503367,11014176,8
23503367,80297127,9
23503367,20369814,10
23503367,95362201,11
23503367,15125641,12
56840754,29673695,1
56840754,31561187,2
56840754,37771013,3
56840754,54844888,4
56840754,35915429,5
56840754,74363723,6
56840754,53442767,7
56840754,79672628,8
56840754,21267167,9
56840754,59890131,10
56840754,85832377,11
56840754,38352842,12
81519758,35915429,1
81519758,37771013,2
81519758,54844888,3
81519758,31561187,4
81519758,74363723,5
81519758,53442767,6
81519758,29673695,7
81519758,59890131,8
81519758,85832377,9
81519758,79672628,10
81519758,21267167,11
81519758,38352842,12
40323829,54844888,1
40323829,37771013,2
40323829,53442767,3
40323829,31561187,4
40323829,29673695,5
40323829,79672628,6
40323829,74363723,7
40323829,35915429,8
40323829,38352842,9
40323829,59890131,10
40323829,21267167,11
40323829,85832377,12
27131848,54844888,1
27131848,31561187,2
27131848,74363723,3
27131848,35915429,4
27131848,53442767,5
27131848,37771013,6
27131848,59890131,7
27131848,29673695,8
27131848,79672628,9
27131848,38352842,10
27131848,85832377,11
27131848,21267167,12
79103275,18767554,1
79103275,77473926,2
79103275,49746069,3
79103275,84529515,4
79103275,53442767,5
79103275,41603807,6
79103275,74363723,7
79103275,29673695,8
79103275,31561187,9
79103275,79672628,10
79103275,64830853,11
79103275,21267167,12
11291612,77473926,1
11291612,49746069,2
11291612,84529515,3
11291612,29673695,4
11291612,31561187,5
11291612,18767554,6
11291612,74363723,7
11291612,21267167,8
11291612,79672628,9
11291612,53442767,10
11291612,64830853,11
11291612,41603807,12
48680673,77473926,1
48680673,84529515,2
48680673,49746069,3
48680673,74363723,4
48680673,53442767,5
48680673,29673695,6
48680673,18767554,7
48680673,64830853,8
48680673,31561187,9
48680673,21267167,10
48680673,79672628,11
48680673,41603807,12
78707344,49746069,1
78707344,84529515,2
78707344,77473926,3
78707344,53442767,4
78707344,74363723,5
78707344,64830853,6
78707344,41603807,7
78707344,31561187,8
78707344,18767554,9
78707344,29673695,10
78707344,21267167,11
78707344,79672628,12
7819477,49746069,1
7819477,77473926,2
7819477,29673695,3
7819477,53442767,4
7819477,3343985,5
7819477,84529515,6
7819477,74363723,7
7819477,18767554,8
7819477,31561187,9
7819477,21267167,10
7819477,64521030,11
7819477,23628341,12
7819477,38352842,13
7819477,97519162,14
7819477,64830853,15
7819477,35887754,16
7819477,9816690,17
7819477,20708529,18
34461511,29673695,1
34461511,49746069,2
34461511,31561187,3
34461511,77473926,4
34461511,18767554,5
34461511,97519162,6
34461511,84529515,7
34461511,53442767,8
34461511,3343985,9
34461511,21267167,10
34461511,35887754,11
34461511,74363723,12
34461511,9816690,13
34461511,38352842,14
34461511,64521030,15
34461511,64830853,16
34461511,20708529,17
34461511,23628341,18
53378923,77473926,1
53378923,49746069,2
53378923,31561187,3
53378923,53442767,4
53378923,29673695,5
53378923,74363723,6
53378923,18767554,7
53378923,3343985,8
53378923,23628341,9
53378923,21267167,10
53378923,38352842,11
53378923,35887754,12
53378923,9816690,13
53378923,20708529,14
53378923,97519162,15
53378923,64830853,16
53378923,64521030,17
53378923,84529515,18
16116614,77473926,1
16116614,31561187,2
16116614,23628341,3
16116614,49746069,4
16116614,74363723,5
16116614,35887754,6
16116614,84529515,7
16116614,3343985,8
16116614,53442767,9
16116614,18767554,10
16116614,29673695,11
16116614,38352842,12
16116614,97519162,13
16116614,20708529,14
16116614,64521030,15
16116614,64830853,16
16116614,9816690,17
16116614,21267167,18
21078561,70916580,1
21078561,49746069,2
21078561,31561187,3
21078561,97015711,4
21078561,832153,5
21078561,95701656,6
21078561,75141924,7
21078561,96175326,8
21078561,5060785,9
21078561,18767554,10
21078561,74363723,11
21078561,21267167,12
21078561,20173236,13
21078561,35887754,14
21078561,5178638,15
21078561,37537849,16
21078561,3343985,17
21078561,38352842,18
4685116,70916580,1
4685116,31561187,2
4685116,5060785,3
4685116,3343985,4
4685116,49746069,5
4685116,97015711,6
4685116,832153,7
4685116,75141924,8
4685116,18767554,9
4685116,74363723,10
4685116,35887754,11
4685116,20173236,12
4685116,95701656,13
4685116,96175326,14
4685116,37537849,15
4685116,21267167,16
4685116,38352842,17
4685116,5178638,18
9923664,70916580,1
9923664,96175326,2
9923664,49746069,3
9923664,21267167,4
9923664,75141924,5
9923664,5060785,6
9923664,37537849,7
9923664,95701656,8
9923664,18767554,9
9923664,31561187,10
9923664,97015711,11
9923664,3343985,12
9923664,832153,13
9923664,5178638,14
9923664,74363723,15
9923664,35887754,16
9923664,20173236,17
9923664,38352842,18
15498062,97015711,1
15498062,3343985,2
15498062,75141924,3
15498062,70916580,4
15498062,37537849,5
15498062,96175326,6
15498062,18767554,7
15498062,31561187,8
15498062,5178638,9
15498062,38352842,10
15498062,5060785,11
15498062,35887754,12
15498062,74363723,13
15498062,95701656,14
15498062,832153,15
15498062,20173236,16
15498062,49746069,17
15498062,21267167,18
46597156,73113253,1
46597156,49746069,2
46597156,9704316,3
46597156,21267167,4
46597156,90735668,5
46597156,12403011,6
46597156,832153,7
46597156,31561187,8
46597156,75141924,9
46597156,89761386,10
46597156,5060785,11
46597156,91072341,12
46597156,18767554,13
46597156,95701656,14
46597156,3343985,15
46597156,97015711,16
46597156,27044513,17
46597156,29673695,18
97148389,5060785,1
97148389,832153,2
97148389,12403011,3
97148389,49746069,4
97148389,89761386,5
97148389,21267167,6
97148389,31561187,7
97148389,75141924,8
97148389,91072341,9
97148389,9704316,10
97148389,73113253,11
97148389,95701656,12
97148389,97015711,13
97148389,3343985,14
97148389,90735668,15
97148389,27044513,16
97148389,29673695,17
97148389,18767554,18
72722761,95701656,1
72722761,9704316,2
72722761,49746069,3
72722761,75141924,4
72722761,31561187,5
72722761,5060785,6
72722761,832153,7
72722761,89761386,8
72722761,97015711,9
72722761,21267167,10
72722761,18767554,11
72722761,3343985,12
72722761,29673695,13
72722761,27044513,14
72722761,12403011,15
72722761,90735668,16
72722761,91072341,17
72722761,73113253,18
8491828,3343985,1
8491828,95701656,2
8491828,21267167,3
8491828,97015711,4
8491828,5060785,5
8491828,91072341,6
8491828,75141924,7
8491828,832153,8
8491828,18767554,9
8491828,89761386,10
8491828,12403011,11
8491828,9704316,12
8491828,49746069,13
8491828,73113253,14
8491828,90735668,15
8491828,29673695,16
8491828,31561187,17
8491828,27044513,18
9664111,21267167,1
9664111,832153,2
9664111,12403011,3
9664111,35887754,4
9664111,5060785,5
9664111,89761386,6
9664111,73113253,7
9664111,49746069,8
9664111,75141924,9
9664111,91072341,10
9664111,9704316,11
9664111,31561187,12
9664111,95701656,13
9664111,64830853,14
9664111,97015711,15
9664111,23474192,16
9664111,10576990,17
9664111,3343985,18
70902597,5060785,1
70902597,9704316,2
70902597,12403011,3
70902597,49746069,4
70902597,31561187,5
70902597,832153,6
70902597,21267167,7
70902597,89761386,8
70902597,91072341,9
70902597,75141924,10
70902597,10576990,11
70902597,97015711,12
70902597,73113253,13
70902597,64830853,14
70902597,95701656,15
70902597,35887754,16
70902597,3343985,17
70902597,23474192,18
94367801,89761386,1
94367801,95701656,2
94367801,75141924,3
94367801,9704316,4
94367801,21267167,5
94367801,97015711,6
94367801,49746069,7
94367801,35887754,8
94367801,91072341,9
94367801,64830853,10
94367801,31561187,11
94367801,5060785,12
94367801,12403011,13
94367801,23474192,14
94367801,73113253,15
94367801,832153,16
94367801,10576990,17
94367801,3343985,18
74940339,49746069,1
74940339,21267167,2
74940339,89761386,3
74940339,73113253,4
74940339,5060785,5
74940339,3343985,6
74940339,35887754,7
74940339,91072341,8
74940339,97015711,9
74940339,12403011,10
74940339,75091219,11
74940339,31561187,12
74940339,10576990,13
74940339,75141924,14
74940339,832153,15
74940339,64830853,16
74940339,9704316,17
74940339,23474192,18
133713,91072341,1
133713,12403011,2
133713,49746069,3
133713,9704316,4
133713,53442767,5
133713,59287240,6
133713,21267167,7
133713,97015711,8
133713,74363723,9
133713,14947601,10
133713,75091219,11
133713,75141924,12
133713,31561187,13
133713,53387446,14
133713,18767554,15
133713,30407568,16
133713,73113253,17
133713,832153,18
14732889,49746069,1
14732889,30407568,2
14732889,9704316,3
14732889,73113253,4
14732889,53442767,5
14732889,53387446,6
14732889,832153,7
14732889,12403011,8
14732889,14947601,9
14732889,59287240,10
14732889,21267167,11
14732889,97015711,12
14732889,75141924,13
14732889,31561187,14
14732889,75091219,15
14732889,91072341,16
14732889,74363723,17
14732889,18767554,18
72158401,30407568,1
72158401,21267167,2
72158401,91072341,3
72158401,9704316,4
72158401,14947601,5
72158401,18767554,6
72158401,832153,7
72158401,73113253,8
72158401,49746069,9
72158401,53387446,10
72158401,53442767,11
72158401,97015711,12
72158401,12403011,13
72158401,74363723,14
72158401,31561187,15
72158401,59287240,16
72158401,75091219,17
72158401,75141924,18
66750266,12403011,1
66750266,49746069,2
66750266,91072341,3
66750266,30407568,4
66750266,21267167,5
66750266,53442767,6
66750266,59287240,7
66750266,14947601,8
66750266,9704316,9
66750266,31561187,10
66750266,75141924,11
66750266,53387446,12
66750266,73113253,13
66750266,74363723,14
66750266,97015711,15
66750266,18767554,16
66750266,832153,17
66750266,75091219,18
41227949,3343985,1
41227949,2877157,2
41227949,25482520,3
41227949,12403011,4
41227949,29673695,5
41227949,48603239,6
41227949,21267167,7
41227949,99948523,8
41227949,25666958,9
41227949,74054412,10
41227949,39146377,11
41227949,81328377,12
41227949,90476956,13
41227949,88825641,14
28212392,12403011,1
28212392,3343985,2
28212392,2877157,3
28212392,74054412,4
28212392,99948523,5
28212392,25666958,6
28212392,29673695,7
28212392,81328377,8
28212392,21267167,9
28212392,48603239,10
28212392,25482520,11
28212392,39146377,12
28212392,90476956,13
28212392,88825641,14
86083690,3343985,1
86083690,99948523,2
86083690,12403011,3
86083690,48603239,4
86083690,25482520,5
86083690,39146377,6
86083690,2877157,7
86083690,74054412,8
86083690,25666958,9
86083690,21267167,10
86083690,81328377,11
86083690,29673695,12
86083690,90476956,13
86083690,88825641,14
